ReleaseDate,Movie,Genre,ProductionBudget,DomesticBoxOfficeToDate,Year,NetflixRating,OnNetflix,Awards,Nominations,BestPicture,RottenTomatosCriticScore,RottenTomatosAudienceScore,BigGenre,CalDate
1-Apr,Super,Black Comedy,2500000,327716,2011,NetflixRating,0,0,0,56,76,4.032258064516129
1-Apr,Trust,Drama,4000000,120016,2011,NetflixRating,0,0,0,78,65,4.032258064516129
8-Apr,Hanna,Drama,30000000,40259119,2011,NetflixRating,0,0,0,72,66,4.258064516129032
8-Apr,Meek's Cutoff,Drama,2000000,977772,2011,NetflixRating,0,0,0,85,54,4.258064516129032
8-Apr,Soul Surfer,Drama,18000000,43853424,2011,NetflixRating,0,0,0,46,77,4.258064516129032
15-Apr,The Conspirator,Drama,25000000,11538204,2011,NetflixRating,0,0,0,55,62,4.483870967741936
15-Apr,Rio,Adventure,90000000,143619809,2011,NetflixRating,0,0,0,72,71,4.483870967741936
22-Apr,POM Wonderful Presents: The Greatest Movie Ever Sold,Documentary,1800000,638476,2011,NetflixRating,0,0,0,73,64,4.709677419354839
29-Apr,Dylan Dog: Dead of Night,Horror,20000000,1186538,2011,NetflixRating,0,0,0,8,29,4.935483870967742
29-Apr,Fast Five,Action,125000000,209837675,2011,NetflixRating,0,0,0,77,82,4.935483870967742
29-Apr,Hoodwinked Too: Hood vs. Evil,Adventure,30000000,10143779,2011,NetflixRating,0,0,0,11,36,4.935483870967742
29-Apr,Prom,Comedy,8000000,10130219,2011,NetflixRating,0,0,0,36,40,4.935483870967742
6-May,The Beaver,Comedy,21000000,970816,2011,NetflixRating,0,0,0,60,56,5.193548387096774
6-May,Hobo with a Shotgun,Action,3000000,703372,2011,NetflixRating,0,0,0,66,58,5.193548387096774
6-May,Jumping the Broom,Romantic Comedy,7000000,37295394,2011,NetflixRating,0,0,0,56,59,5.193548387096774
6-May,Something Borrowed,Romantic Comedy,35000000,39046489,2011,NetflixRating,0,0,0,15,48,5.193548387096774
6-May,There Be Dragons,Drama,36000000,1069334,2011,NetflixRating,0,0,0,11,55,5.193548387096774
6-May,Thor,Action,150000000,181030624,2011,NetflixRating,0,0,0,77,76,5.193548387096774
11-May,Nanjing! Nanjing!,Drama,12000000,122558,2011,NetflixRating,0,0,0,41,74,5.354838709677419
13-May,Bridesmaids,Comedy,32500000,169106725,2011,NetflixRating,0,0,0,90,76,5.419354838709677
13-May,Everything Must Go,Drama,5000000,2712131,2011,NetflixRating,0,0,0,75,53,5.419354838709677
13-May,Hesher,Drama,7000000,382946,2011,NetflixRating,0,0,0,54,61,5.419354838709677
13-May,Priest,Horror,60000000,29136626,2011,NetflixRating,0,0,0,16,46,5.419354838709677
20-May,Midnight in Paris,Romantic Comedy,30000000,56816662,2011,NetflixRating,1,4,0,93,82,5.645161290322581
20-May,Pirates of the Caribbean: On Stranger Tides,Adventure,250000000,241063875,2011,NetflixRating,0,0,0,33,55,5.645161290322581
26-May,Kung Fu Panda 2,Adventure,150000000,165249063,2011,NetflixRating,0,0,0,81,74,5.838709677419355
27-May,The Tree of Life,Drama,35000000,13305665,2011,NetflixRating,0,0,0,84,60,5.870967741935484
3-Jun,Beginners,Drama,3200000,5790894,2011,NetflixRating,1,1,0,84,77,6.096774193548387
