Release Date,Movie,Genre,Production Budget,Domestic Box Office to Date,Trailer,Year
,For the Love of Money,Drama,,0,,2012
,Lola Versus,Comedy,,252603,,2012
,Madagascar 3: Europe's Most Wanted,Adventure,145000000,216391482,Play,2012
,Nous ne viellirons pas ensemble,,,14104,,2012
,Patagonia Rising,Documentary,,2064,,2012
,Peace: Love: and Misunderstanding,Comedy,,542762,,2012
,Prometheus,Adventure,,126477084,Play,2012
,Safety Not Guaranteed,Comedy,750000,4010957,,2012
,,,,,,2012
9-Jun,Hotaru no Hikari,Drama,,0,,2012
,,,,,,2012
11-Jun,Tahrir,Documentary,,0,,2012
,,,,,,2012
12-Jun,Demoted,Comedy,,0,,2012
,The Gold Rush,,,0,,2012
,Monster Brawl,Comedy,,0,,2012
,Radio Rebel,Comedy,,0,,2012
,Superman vs. The Elite,,,0,,2012
,Too Big to Fail,Drama,,0,,2012
,Tyler Perry's Aunt Bam's Place - The Play,Comedy,,0,,2012
,Yi ngoi,Thriller/Suspense,,0,,2012
,,,,,,2012
13-Jun,Marina Abramovic: The Artist Is Present,Documentary,,86637,,2012
,,,,,,2012
15-Jun,Americano,,,0,,2012
,Extraterrestre,Comedy,,0,,2012
,Ferrari Ki Sawaari,Comedy,,420046,,2012
,The Girl From the Naked Eye,Action,,0,,2012
,That's My Boy,Comedy,67500000,36931089,Play,2012
,Patang,Drama,,0,,2012
,Rock of Ages,Musical,70000000,38518613,Play,2012
,Something From Nothing: The Art of Rap,Documentary,,288738,,2012
,The Tortured,Thriller/Suspense,,0,,2012
,The Woman in the Fifth,Thriller/Suspense,,107921,,2012
,Your Sister's Sister,Drama,120000,1597486,,2012
,,,,,,2012
18-Jun,Drum Corps at the Movies: 2012 DCI Tour Premiere,Concert/Performance,,0,,2012
,,,,,,2012
19-Jun,Exit Humanity,Horror,,0,,2012
,Four Lovers,,,0,,2012
,The Jerk Theory,,,0,,2012
,Kiara The Brave,,,0,,2012
,Love Birds,Romantic Comedy,,0,,2012
,Mutantes: Punk Porn Feminism,Documentary,,0,,2012
,Reel Love,,,0,,2012
,,,,,,2012
20-Jun,La fille du puisatier,Drama,,389651,,2012
,Kumaré,Documentary,,131909,,2012
,,,,,,2012
22-Jun,Abraham Lincoln: Vampire Hunter,Horror,67500000,37519139,Play,2012
,Brave,Adventure,185000000,237282182,Play,2012
,BRO',Action,,9329,,2012
,Grassroots,Comedy,,6497,,2012
,The Invisible War,Documentary,,71968,,2012
,Nate & Margaret,Drama,,0,,2012
,Seeking a Friend for the End of the World,Comedy,,7078738,Play,2012
,Stella Days,Drama,,0,,2012
,Teri Meri Kahaani,Romantic Comedy,,671442,,2012
,To Rome with Love,Romantic Comedy,21500000,16684352,Play,2012
,,,,,,2012
26-Jun,7-gwang-goo,,,0,,2012
,Little Lord Fauntleroy,Drama,,0,,2012
,,,,,,2012
